trip_id,id,type,busStop,started,delay,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,block_id,block_name,start_diff
205065020,506,Gillig_105,145,71345.0,2345.00,506,20220111 19:10,69000,70800,145,217,5702,452,2345.0
205066020,504,Gillig_105,145,63770.0,5570.00,504,20220111 18:17,66000,67800,145,217,1102,108,2230.0
205067020,504,Gillig_105,288,59485.0,7285.00,504,20220111 16:44,60000,61800,288,1351,1102,108,515.0
205068020,506,Gillig_105,288,32201.0,101.00,506,20220111 08:58,32100,33900,288,1351,602,103,101.0
205069020,123,Gillig_103,288,56786.0,9388.00,123,20220111 13:19,47400,48600,288,1351,2502,152,9386.0
205070020,124,Gillig_103,288,59931.0,3531.00,124,20220111 15:52,56400,59400,288,690,302,1016,3531.0
205071020,504,Gillig_105,288,53766.0,9366.00,504,20220111 14:40,52200,54000,288,1351,1102,108,1566.0
205072020,146,Gillig_107,288,59403.0,8703.00,146,20220111 14:09,50700,52500,288,1351,2602,153,8703.0
205073020,504,Gillig_105,288,53766.0,9366.00,504,20220111 12:22,44400,46200,288,1351,1102,108,9366.0
205074020,147,Gillig_101,288,41212.0,114.00,147,20220111 11:22,41100,42900,288,1351,102,101,112.0
205075020,119,Gillig_103,288,45407.0,7307.00,119,20220111 10:33,38100,39900,288,1351,1002,107,7307.0
205076020,145,Gillig_107,288,35431.0,332.00,145,20220111 09:43,35100,36900,288,1351,902,106,331.0
205077020,129,Gillig_103,288,29242.0,144.00,129,20220111 08:06,29100,30900,288,1351,802,105,142.0
205078020,147,Gillig_101,288,26221.0,122.00,147,20220111 07:15,26100,27900,288,1351,102,101,121.0
205079020,154,Gillig_101,288,79370.0,170.00,154,20220111 22:00,79200,81000,288,1351,2802,155,170.0
205080020,154,Gillig_101,288,72327.0,327.00,154,20220111 20:05,72000,73800,288,1351,2802,155,327.0
205081020,126,Gillig_103,288,68444.0,44.00,126,20220111 19:01,68400,70200,288,1351,3002,156,44.0
205082020,154,Gillig_101,288,66267.0,1467.00,154,20220111 18:02,64800,66600,288,1351,2802,155,1467.0
205083020,126,Gillig_103,288,61399.0,199.00,126,20220111 17:05,61200,63000,288,1351,3002,156,199.0
205084020,129,Gillig_103,1870,21061.0,3.00,129,20220111 05:45,21060,23400,1870,1351,802,105,1.0
205085020,146,Gillig_107,1870,22561.0,1.00,146,20220111 06:16,22560,24900,1870,1351,702,104,1.0
205087020,154,Gillig_101,288,79391.0,191.00,154,20220111 23:59,86100,2400,288,690,2802,155,6709.0
205136020,123,Gillig_103,1940,71189.0,4892.00,123,20220111 18:25,66300,68700,1940,221,2402,1519,4889.0
205137020,123,Gillig_103,2092,62440.0,2683.00,123,20220111 16:41,59760,63000,2092,221,2402,1519,2680.0
205138020,130,Gillig_103,2092,58676.0,1616.00,130,20220111 15:47,57060,60300,2092,221,3102,159,1616.0
205139020,136,Gillig_102,1940,74569.0,17569.00,136,20220111 15:50,57000,59100,1940,221,7402,905,17569.0
205140020,136,Gillig_102,1940,29067.0,2069.00,136,20220111 07:25,27000,29400,1940,221,402,1018,2067.0
205141020,124,Gillig_103,1940,28925.0,138.00,124,20220111 07:57,28800,31200,1940,221,3702,302,125.0
205142020,150,Gillig_101,2092,48116.0,360.00,150,20220111 13:15,47760,51000,2092,221,2302,1515,356.0
205143020,154,Gillig_101,2092,22861.0,1.00,154,20220111 06:15,22860,26100,2092,221,202,1015,1.0
205144020,136,Gillig_102,2092,20161.0,2.00,136,20220111 05:43,20160,23400,2092,221,402,1018,1.0
205145020,,,,,,134,20220111 04:47,17160,20400,2092,221,5202,405,
