trip_id,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,route_id,block_id,block_name
206086020,727,20220111 07:47,07:45:00,08:00:00,730,1565,2A,3202,201
205394020,144,20220111 07:47,07:51:00,08:01:00,400,413,14,1402,1401
205511020,143,20220111 07:50,07:47:00,07:58:00,413,400,14,1502,1402
206344020,501,20220111 07:55,08:00:00,09:00:00,1883,1351,4,5002,403
205496020,140,20220111 07:56,07:54:00,08:05:00,413,400,14,1602,1403
206133020,113,20220111 07:56,07:55:00,08:55:00,1925,690,3,3602,301
205141020,124,20220111 07:57,08:00:00,08:40:00,1940,221,10C,3702,302
205380020,143,20220111 07:57,07:58:00,08:08:00,400,413,14,1502,1402
206017020,126,20220111 07:57,08:00:00,08:20:00,12,779,28,3402,2801
204914020,145,20220111 07:58,08:01:00,08:40:00,354,95,1,902,106
206943020,703,20220111 07:59,08:00:00,08:15:00,1566,1874,33,3902,3302
206065020,727,20220111 08:00,08:00:00,08:15:00,1565,730,2A,3202,201
205947020,134,20220111 08:00,08:00:00,08:18:00,756,1351,21,5202,405
206299020,120,20220111 08:00,08:00:00,09:00:00,1351,1876,4,4802,401
205525020,144,20220111 08:03,08:01:00,08:12:00,413,400,14,1402,1401
205653020,728,20220111 08:03,08:00:00,08:25:00,143,454,15A,1902,1501
205366020,140,20220111 08:03,08:05:00,08:15:00,400,413,14,1602,1403
206776020,111,20220111 08:05,08:00:00,08:30:00,1555,1710,9,7202,903
205077020,129,20220111 08:06,08:05:00,08:35:00,288,1351,10A,802,105
205149020,136,20220111 08:08,08:10:00,09:20:00,2235,2231,10C,402,1018
205060020,146,20220111 08:09,08:00:00,08:30:00,145,217,10A,702,104
204946020,147,20220111 08:10,08:15:00,08:50:00,95,145,1,102,101
205250020,150,20220111 08:10,08:10:00,08:40:00,1555,1710,13,1202,1301
206868020,703,20220111 08:11,08:15:00,08:30:00,1874,1565,DTS,3902,3302
205498020,143,20220111 08:13,08:08:00,08:19:00,413,400,14,1502,1402
206087020,727,20220111 08:13,08:15:00,08:30:00,730,1565,2A,3202,201
205393020,144,20220111 08:13,08:12:00,08:22:00,400,413,14,1402,1401
205761020,138,20220111 08:13,08:10:00,08:40:00,509,1555,16,7102,902
205495020,140,20220111 08:17,08:15:00,08:26:00,413,400,14,1602,1403
206034020,126,20220111 08:18,08:20:00,08:45:00,779,12,28,3402,2801
205911020,134,20220111 08:18,08:20:00,08:35:00,166,756,21,5202,405
205379020,143,20220111 08:19,08:19:00,08:29:00,400,413,14,1502,1402
205668020,728,20220111 08:20,08:25:00,08:50:00,454,143,15A,1902,1501
205524020,144,20220111 08:23,08:22:00,08:33:00,413,400,14,1402,1401
205188020,146,20220111 08:25,08:30:00,09:20:00,217,354,10G,702,104
205365020,140,20220111 08:25,08:26:00,08:36:00,400,413,14,1602,1403
206300020,504,20220111 08:25,08:30:00,09:30:00,1351,1876,4,4902,402
205170020,506,20220111 08:25,08:25:00,08:55:00,145,288,10G,602,103
205392020,144,20220111 08:29,08:33:00,08:43:00,400,413,14,1402,1401
206066020,727,20220111 08:30,08:30:00,08:45:00,1565,730,2A,3202,201
206945020,703,20220111 08:30,08:30:00,08:45:00,1566,1874,33,3902,3302
205510020,143,20220111 08:31,08:29:00,08:40:00,413,400,14,1502,1402
206797020,111,20220111 08:32,08:30:00,09:00:00,1710,145,9,7202,903
204913020,129,20220111 08:33,08:35:00,09:05:00,1351,95,1,802,105
205150020,124,20220111 08:35,08:40:00,09:29:00,2235,1351,10C,3702,302
205494020,140,20220111 08:37,08:36:00,08:47:00,413,400,14,1602,1403
205933020,134,20220111 08:37,08:35:00,08:53:00,756,1351,21,5202,405
205263020,150,20220111 08:40,08:40:00,09:10:00,1710,1589,13,1202,1301
205378020,143,20220111 08:41,08:40:00,08:50:00,400,413,14,1502,1402
206016020,126,20220111 08:41,08:45:00,09:05:00,12,779,28,3402,2801
206870020,703,20220111 08:41,08:45:00,09:00:00,1874,1565,DTS,3902,3302
206775020,138,20220111 08:44,08:40:00,09:10:00,1555,1710,9,7102,902
