trip_id,vid,gtfs_trip_id,gtfs_time_start,gtfs_time_end
205942,134,205942,09:10:00,09:40:00
205249,150,205249,09:10:00,09:40:00
205390,144,205390,09:15:00,09:25:00
206089,727,206089,09:15:00,09:30:00
205187,147,205187,09:20:00,09:50:00
205508,143,205508,09:11:00,09:22:00
205169,145,205169,09:15:00,09:45:00
206792,138,206792,09:10:00,09:40:00
205667,728,205667,09:15:00,09:40:00
204912,506,204912,09:27:43,09:40:00
205492,140,205492,09:18:00,09:29:00
206774,136,206774,09:11:00,09:50:00
205376,143,205376,09:22:00,09:32:00
206343,504,206343,09:30:00,10:45:00
206015,126,206015,09:30:00,09:55:00
205521,144,205521,09:25:00,09:36:00
206949,703,206949,09:30:00,09:45:00
205759,111,205759,09:30:00,10:05:00
206068,727,206068,09:30:00,09:45:00
205924,124,205924,09:30:00,09:45:00
205362,140,205362,09:29:00,09:39:00
205507,143,205507,09:32:00,09:43:00
205389,144,205389,09:36:00,09:46:00
206874,703,206874,09:45:00,10:00:00
205262,150,205262,09:40:00,10:20:00
205375,143,205375,09:43:00,09:53:00
205058,129,205058,09:40:00,10:10:00
205491,140,205491,09:39:00,09:50:00
205734,138,205734,09:40:00,10:10:00
205076,145,205076,09:45:00,10:15:00
206090,727,206090,09:45:00,10:00:00
205520,144,205520,09:46:00,09:57:00
204911,147,204911,09:50:00,09:58:20
206032,126,206032,09:55:00,10:20:00
206796,136,206796,09:50:00,10:20:00
205946,124,205946,09:45:00,10:03:00
205651,728,205651,09:40:00,10:05:00
205361,140,205361,09:50:00,10:00:00
205388,144,205388,09:57:00,10:07:00
205506,143,205506,09:53:00,10:04:00
204942,506,204942,09:55:00,10:30:00
206341,501,206341,10:00:00,11:00:00
206062,727,206062,10:00:00,10:15:00
206951,703,206951,10:00:00,10:15:00
206297,120,206297,10:00:00,11:00:00
205490,140,205490,10:00:00,10:11:00
205374,143,205374,10:04:00,10:14:00
205248,135,205248,10:06:00,10:45:00
205907,124,205907,10:05:00,10:20:00
205519,144,205519,10:07:00,10:18:00
205666,728,205666,10:05:00,10:30:00
205360,140,205360,10:11:00,10:21:00
204910,145,204910,10:17:01,10:30:00
205758,138,205758,10:10:00,10:40:00
206773,111,206773,10:05:00,10:35:00
205186,129,205186,10:10:00,10:45:00
206877,703,206877,10:20:00,10:35:00
206282,752,206282,10:21:00,11:30:00
204957,147,204957,10:20:00,10:55:00
206084,727,206084,10:15:00,10:30:00
205497,143,205497,10:14:00,10:25:00
206021,126,206021,10:20:00,10:45:00
205168,119,205168,10:05:00,10:35:00
205929,124,205929,10:20:00,10:38:00
205489,140,205489,10:21:00,10:32:00
