interval_begin,interval_end,edge_id,edge_speed,edge_density,edge_laneDensity,edge_left,edge_occupancy,edge_traveltime,edge_waitingTime,edge_entered
21600.0,22200.0,-26226,,,,0,,,,0
21600.0,22200.0,-26227,16.36,1.3,1.3,12,0.76,14.01,0.0,13
21600.0,22200.0,-26228,7.6,0.9,0.9,4,0.43,23.73,0.0,3
21600.0,22200.0,-26229,,,,0,,,,0
21600.0,22200.0,-26230,,,,0,,,,0
21600.0,22200.0,-26231,,,,0,,,,0
21600.0,22200.0,-26232,,,,0,,,,0
21600.0,22200.0,-26233,,,,0,,,,0
21600.0,22200.0,-26235,7.57,0.91,0.91,3,0.44,12.98,0.0,3
21600.0,22200.0,-26236,,,,0,,,,0
21600.0,22200.0,-26237,7.83,0.21,0.21,1,0.32,16.05,0.0,0
21600.0,22200.0,-26238,,,,0,,,,0
21600.0,22200.0,-26239,,,,0,,,,0
21600.0,22200.0,-26240,,,,0,,,,0
21600.0,22200.0,-26241,,,,0,,,,0
21600.0,22200.0,-26242,8.13,0.22,0.22,1,0.1,6.96,0.0,1
21600.0,22200.0,-26243,15.23,3.78,3.78,32,1.79,6.65,0.0,33
21600.0,22200.0,-26244,,,,0,,,,0
21600.0,22200.0,-26245,,,,0,,,,0
21600.0,22200.0,-26246,10.79,0.5,0.5,3,0.23,6.76,0.0,3
21600.0,22200.0,-26247,5.77,1.94,1.94,3,0.78,1.26,0.0,3
21600.0,22200.0,-26248,7.92,0.22,0.22,1,0.1,12.49,0.0,1
21600.0,22200.0,-26249,,,,0,,,,0
21600.0,22200.0,-26250,,,,0,,,,0
21600.0,22200.0,-26251,,,,0,,,,0
21600.0,22200.0,-26252,,,,0,,,,0
21600.0,22200.0,-26253,7.98,0.85,0.85,4,0.42,53.97,0.0,4
21600.0,22200.0,-26254,8.71,0.19,0.19,0,0.1,52.99,0.0,1
21600.0,22200.0,-26255,,,,0,,,,0
21600.0,22200.0,-26256,,,,0,,,,0
21600.0,22200.0,-26257,8.37,0.2,0.2,1,0.1,10.79,0.0,0
21600.0,22200.0,-26258,6.83,0.49,0.49,2,0.24,30.89,0.0,0
21600.0,22200.0,-26259,,,,0,,,,0
21600.0,22200.0,-26260,7.75,0.21,0.21,1,0.1,32.74,0.0,0
21600.0,22200.0,-26261,,,,0,,,,0
21600.0,22200.0,-26262,,,,0,,,,0
21600.0,22200.0,-26263,,,,0,,,,0
21600.0,22200.0,-26264,,,,0,,,,0
21600.0,22200.0,-26265,7.43,0.22,0.22,1,0.11,13.38,0.0,0
21600.0,22200.0,-26266,,,,0,,,,0
21600.0,22200.0,-26267,,,,0,,,,0
21600.0,22200.0,-26268,9.02,0.37,0.37,2,0.38,20.44,0.0,0
21600.0,22200.0,-26269,11.55,0.45,0.45,3,0.21,8.9,0.0,3
21600.0,22200.0,-26270,8.43,0.2,0.2,1,0.1,41.93,0.0,0
21600.0,22200.0,-26271,,,,0,,,,0
21600.0,22200.0,-26272,9.62,0.17,0.17,1,0.09,34.86,0.0,0
21600.0,22200.0,-26273,6.43,0.26,0.26,1,0.36,10.13,0.0,0
21600.0,22200.0,-26274,,,,0,,,,0
21600.0,22200.0,-26275,15.95,0.55,0.28,4,0.1,0.98,0.0,4
21600.0,22200.0,-26276,7.93,0.42,0.42,2,0.42,28.68,0.0,0
21600.0,22200.0,-26277,,,,0,,,,0
21600.0,22200.0,-26278,7.92,0.21,0.21,1,0.1,10.76,0.0,0
21600.0,22200.0,-26279,,,,0,,,,0
21600.0,22200.0,-26280,8.33,0.12,0.12,0,0.06,21.6,0.0,0
21600.0,22200.0,-26281,,,,0,,,,0
21600.0,22200.0,-26282,8.17,0.2,0.2,1,0.1,24.0,0.0,0
21600.0,22200.0,-26283,,,,0,,,,0
21600.0,22200.0,-26284,14.19,0.63,0.63,5,0.29,4.37,0.0,4
21600.0,22200.0,-26285,6.58,0.54,0.54,2,0.25,10.6,0.0,2
21600.0,22200.0,-26286,17.57,0.73,0.73,7,0.66,5.21,0.0,6
21600.0,22200.0,-26287,,,,0,,,,0
21600.0,22200.0,-26288,5.22,0.32,0.32,1,0.14,5.29,0.0,0
21600.0,22200.0,-26289,7.91,0.59,0.59,2,0.29,20.66,0.0,3
21600.0,22200.0,-26290,6.73,4.21,4.21,16,1.97,11.7,10.0,16
21600.0,22200.0,-26291,,,,0,,,,0
21600.0,22200.0,-26292,,,,0,,,,0
21600.0,22200.0,-26293,,,,0,,,,0
21600.0,22200.0,-26294,13.32,0.71,0.71,5,0.33,7.32,0.0,6
21600.0,22200.0,-26295,7.37,0.23,0.23,1,0.11,29.84,0.0,0
21600.0,22200.0,-26296,,,,0,,,,0
21600.0,22200.0,-26297,7.06,0.25,0.25,1,0.12,18.0,0.0,1
21600.0,22200.0,-26298,,,,0,,,,0
21600.0,22200.0,-26299,8.67,0.19,0.19,1,0.09,10.79,0.0,0
