interval_begin,interval_end,edge_id,edge_speed,edge_density,edge_laneDensity,edge_left,edge_occupancy,edge_traveltime,edge_waitingTime,edge_entered
21600.0,22200.0,-1000,26.65,0.7,0.35,11,0.18,9.3,0.0,11
21600.0,22200.0,-10000,,,,0,,,,0
21600.0,22200.0,-10001,,,,0,,,,0
21600.0,22200.0,-10002,17.87,1.64,1.64,10,0.86,108.48,0.0,21
21600.0,22200.0,-10003,14.65,0.34,0.34,3,0.17,108.49,0.0,2
21600.0,22200.0,-10004,,,,0,,,,0
21600.0,22200.0,-10005,8.05,0.06,0.06,0,0.03,233.97,0.0,1
21600.0,22200.0,-10006,18.56,0.27,0.27,3,0.13,46.49,0.0,3
21600.0,22200.0,-10007,,,,0,,,,0
21600.0,22200.0,-10008,7.06,0.24,0.24,1,0.12,121.92,0.0,1
21600.0,22200.0,-10009,13.08,2.31,2.31,17,1.34,67.82,174.0,17
21600.0,22200.0,-1001,26.52,0.7,0.35,11,0.18,11.83,0.0,11
21600.0,22200.0,-10010,,,,0,,,,0
21600.0,22200.0,-10011,,,,0,,,,0
21600.0,22200.0,-10012,,,,0,,,,0
21600.0,22200.0,-10013,8.18,0.42,0.42,2,0.2,30.38,0.0,2
21600.0,22200.0,-10014,,,,0,,,,0
21600.0,22200.0,-10015,8.68,0.58,0.58,3,0.29,54.89,0.0,3
21600.0,22200.0,-10016,8.43,0.21,0.21,1,0.1,9.6,0.0,1
21600.0,22200.0,-10017,9.05,0.18,0.18,1,0.09,5.89,0.0,0
21600.0,22200.0,-10018,,,,0,,,,0
21600.0,22200.0,-10019,,,,0,,,,0
21600.0,22200.0,-1002,25.59,0.6,0.3,9,0.15,9.17,0.0,9
21600.0,22200.0,-10020,,,,0,,,,0
21600.0,22200.0,-10021,,,,0,,,,0
21600.0,22200.0,-10022,8.53,0.4,0.4,2,0.2,31.36,0.0,2
21600.0,22200.0,-10023,7.81,0.21,0.21,1,0.11,124.69,0.0,0
21600.0,22200.0,-10024,,,,0,,,,0
21600.0,22200.0,-10025,,,,0,,,,0
21600.0,22200.0,-10026,,,,0,,,,0
21600.0,22200.0,-10027,18.35,0.25,0.25,1,0.13,52.63,0.0,4
21600.0,22200.0,-10028,,,,0,,,,0
21600.0,22200.0,-1003,21.42,0.72,0.36,9,0.18,8.13,0.0,9
21600.0,22200.0,-10030,11.38,15.35,15.35,94,8.85,27.62,440.0,109
21600.0,22200.0,-10031,,,,0,,,,0
21600.0,22200.0,-10032,,,,0,,,,0
21600.0,22200.0,-10033,8.29,0.41,0.41,2,0.2,21.5,0.0,1
21600.0,22200.0,-10034,8.86,0.19,0.19,1,0.09,29.75,0.0,1
21600.0,22200.0,-10035,,,,0,,,,0
21600.0,22200.0,-10036,8.28,0.2,0.2,1,0.1,55.14,0.0,1
21600.0,22200.0,-10037,8.02,0.42,0.42,2,0.21,51.16,0.0,1
21600.0,22200.0,-10038,,,,0,,,,0
21600.0,22200.0,-10039,,,,0,,,,0
21600.0,22200.0,-1004,26.71,0.06,0.03,1,0.02,14.57,0.0,0
21600.0,22200.0,-10040,,,,0,,,,0
21600.0,22200.0,-10041,7.84,0.11,0.11,0,0.06,150.11,0.0,1
21600.0,22200.0,-10042,,,,0,,,,0
21600.0,22200.0,-10043,7.21,0.47,0.47,2,0.23,27.43,0.0,1
21600.0,22200.0,-10044,7.77,0.21,0.21,1,0.1,12.33,0.0,0
21600.0,22200.0,-10045,16.72,1.53,1.53,13,0.76,37.61,0.0,16
21600.0,22200.0,-10046,,,,0,,,,0
21600.0,22200.0,-10047,15.98,0.9,0.9,8,0.57,54.64,0.0,8
21600.0,22200.0,-10048,,,,0,,,,0
21600.0,22200.0,-10049,,,,0,,,,0
21600.0,22200.0,-1005,,,,0,,,,0
21600.0,22200.0,-10050,,,,0,,,,0
21600.0,22200.0,-10051,,,,0,,,,0
21600.0,22200.0,-10052,,,,0,,,,0
21600.0,22200.0,-10053,22.56,1.49,1.49,19,0.7,3.69,0.0,19
21600.0,22200.0,-10054,,,,0,,,,0
21600.0,22200.0,-10055,16.61,0.1,0.1,1,0.05,43.03,0.0,1
21600.0,22200.0,-10056,,,,0,,,,0
21600.0,22200.0,-10057,,,,0,,,,0
21600.0,22200.0,-10058,,,,0,,,,0
21600.0,22200.0,-10059,17.24,0.1,0.1,1,0.05,30.86,0.0,1
21600.0,22200.0,-1006,26.63,0.7,0.35,11,0.18,9.83,0.0,11
21600.0,22200.0,-10060,7.84,0.21,0.21,1,0.11,139.09,0.0,0
21600.0,22200.0,-10061,9.22,0.18,0.18,1,0.09,264.8,0.0,0
21600.0,22200.0,-10062,,,,0,,,,0
21600.0,22200.0,-10063,,,,0,,,,0
21600.0,22200.0,-10064,,,,0,,,,0
21600.0,22200.0,-10065,26.29,0.06,0.06,1,0.03,22.56,0.0,0
21600.0,22200.0,-10066,7.95,0.91,0.91,4,0.44,37.1,0.0,4
21600.0,22200.0,-10067,16.14,0.23,0.23,2,0.12,71.18,0.0,2
21600.0,22200.0,-10068,,,,0,,,,0
21600.0,22200.0,-10069,14.82,0.11,0.11,1,0.06,65.99,0.0,0
21600.0,22200.0,-1007,26.5,0.71,0.36,11,0.18,5.36,0.0,9
21600.0,22200.0,-10070,,,,0,,,,0
21600.0,22200.0,-10071,14.44,0.13,0.13,1,0.06,17.12,0.0,2
21600.0,22200.0,-10072,18.29,0.09,0.09,1,0.05,73.9,0.0,1
21600.0,22200.0,-10073,7.75,0.52,0.52,2,0.2,1.44,0.0,1
21600.0,22200.0,-10074,10.24,1.81,1.81,11,0.93,35.89,118.0,9
21600.0,22200.0,-10075,13.78,1.23,1.23,9,0.56,2.9,0.0,9
21600.0,22200.0,-10076,14.88,3.44,3.44,28,1.55,3.43,0.0,28
21600.0,22200.0,-10077,19.28,0.26,0.26,3,0.13,20.34,0.0,3
21600.0,22200.0,-10078,19.1,0.28,0.28,3,0.14,32.82,0.0,4
21600.0,22200.0,-10079,8.0,0.21,0.21,1,0.1,112.19,0.0,1
21600.0,22200.0,-1008,11.7,0.14,0.14,1,0.06,3.38,0.0,0
21600.0,22200.0,-10080,8.19,0.2,0.2,1,0.08,1.7,0.0,0
21600.0,22200.0,-10081,18.5,0.09,0.09,1,0.04,58.92,0.0,1
21600.0,22200.0,-10082,8.7,0.26,0.26,1,0.09,1.64,0.0,1
21600.0,22200.0,-10083,19.18,0.46,0.46,5,0.22,3.18,0.0,4
21600.0,22200.0,-10084,19.2,0.36,0.36,4,0.17,5.51,0.0,4
21600.0,22200.0,-10085,19.12,0.53,0.53,6,0.26,24.21,0.0,6
21600.0,22200.0,-10086,17.62,0.6,0.6,6,0.28,5.78,0.0,6
21600.0,22200.0,-10087,7.47,0.23,0.23,1,0.11,25.18,0.0,1
21600.0,22200.0,-10088,7.63,0.22,0.22,1,0.11,10.17,0.0,0
21600.0,22200.0,-10089,,,,0,,,,0
21600.0,22200.0,-1009,25.32,0.63,0.31,9,0.15,3.48,0.0,9
21600.0,22200.0,-10090,18.87,1.37,1.37,14,0.68,16.81,0.0,14
21600.0,22200.0,-10091,17.6,1.37,1.37,14,0.66,7.91,0.0,14
21600.0,22200.0,-10092,18.76,1.6,1.6,17,0.76,4.39,0.0,17
21600.0,22200.0,-10093,6.88,0.52,0.52,2,0.24,9.34,0.0,2
21600.0,22200.0,-10094,5.52,0.69,0.69,2,0.76,12.4,4.0,2
21600.0,22200.0,-10095,9.76,0.17,0.17,1,0.08,36.64,0.0,0
21600.0,22200.0,-10096,8.54,0.21,0.21,1,0.1,6.44,0.0,1
21600.0,22200.0,-10097,,,,0,,,,0
21600.0,22200.0,-10098,,,,0,,,,0
21600.0,22200.0,-10099,16.71,0.15,0.15,1,0.07,64.27,0.0,3
21600.0,22200.0,-1010,11.38,0.94,0.94,5,0.41,3.3,0.0,5
21600.0,22200.0,-10100,15.72,0.22,0.22,2,0.11,10.16,0.0,2
21600.0,22200.0,-10101,,,,0,,,,0
21600.0,22200.0,-10102,,,,0,,,,0
21600.0,22200.0,-10103,7.98,0.43,0.43,2,0.21,15.82,0.0,1
21600.0,22200.0,-10104,8.96,0.19,0.19,1,0.09,40.23,0.0,1
21600.0,22200.0,-10105,7.82,0.67,0.67,3,0.32,14.91,0.0,3
21600.0,22200.0,-10106,7.7,1.07,1.07,4,0.52,30.51,0.0,5
21600.0,22200.0,-10107,7.77,1.12,1.12,5,0.53,14.69,0.0,5
21600.0,22200.0,-10108,14.43,1.08,1.08,9,0.52,9.41,0.0,9
21600.0,22200.0,-10109,12.84,1.98,1.98,15,0.97,21.65,0.0,15
21600.0,22200.0,-1011,27.31,7.4,2.47,111,1.17,2.07,0.0,111
21600.0,22200.0,-10110,13.57,1.89,1.89,15,0.94,71.94,0.0,15
21600.0,22200.0,-10111,13.4,2.66,2.66,18,1.32,44.68,0.0,23
21600.0,22200.0,-10112,16.19,0.1,0.1,1,0.05,42.78,0.0,1
21600.0,22200.0,-10113,11.83,0.63,0.63,4,0.28,3.51,0.0,4
21600.0,22200.0,-10114,14.98,0.34,0.34,3,0.17,20.38,0.0,3
21600.0,22200.0,-10115,15.26,0.34,0.34,3,0.16,7.52,0.0,3
21600.0,22200.0,-10116,7.72,0.27,0.27,1,0.11,4.86,0.0,2
21600.0,22200.0,-10117,5.23,2.29,2.29,6,1.01,4.62,4.0,6
21600.0,22200.0,-10118,,,,0,,,,0
21600.0,22200.0,-10119,15.89,0.54,0.54,5,0.26,14.41,0.0,5
21600.0,22200.0,-1012,16.94,12.49,4.16,110,2.02,2.18,0.0,111
21600.0,22200.0,-10120,14.43,1.08,1.08,9,0.53,14.33,0.0,11
21600.0,22200.0,-10121,13.42,0.12,0.12,1,0.06,192.23,0.0,0
21600.0,22200.0,-10122,,,,0,,,,0
21600.0,22200.0,-10123,,,,0,,,,0
21600.0,22200.0,-10124,16.18,1.1,1.1,10,0.54,30.83,0.0,12
21600.0,22200.0,-10125,16.7,1.23,1.23,12,0.6,12.29,0.0,12
21600.0,22200.0,-10126,20.89,0.59,0.59,7,0.28,8.4,0.0,8
21600.0,22200.0,-10127,16.37,0.54,0.54,5,0.27,19.03,0.0,5
21600.0,22200.0,-10128,15.53,0.54,0.54,5,0.27,26.71,0.0,5
21600.0,22200.0,-10129,,,,0,,,,0
21600.0,22200.0,-1013,21.53,12.24,4.08,111,1.59,0.61,0.0,111
21600.0,22200.0,-10130,17.05,0.1,0.1,1,0.05,6.11,0.0,1
21600.0,22200.0,-10131,16.16,1.04,1.04,10,0.51,24.04,0.0,7
21600.0,22200.0,-10132,8.45,0.4,0.4,2,0.2,71.56,0.0,2
21600.0,22200.0,-10133,7.76,2.77,2.77,12,1.29,9.01,0.0,13
21600.0,22200.0,-10134,8.17,2.85,2.85,13,1.42,20.29,0.0,14
21600.0,22200.0,-10135,9.28,0.18,0.18,1,0.09,12.92,0.0,0
21600.0,22200.0,-10136,7.68,1.77,1.77,8,0.87,35.31,2.0,8
21600.0,22200.0,-10137,7.91,2.1,2.1,8,0.94,6.03,0.0,9
21600.0,22200.0,-10138,,,,0,,,,0
21600.0,22200.0,-10139,,,,0,,,,0
21600.0,22200.0,-1014,8.19,7.31,3.65,27,1.88,13.17,96.0,35
21600.0,22200.0,-10140,,,,0,,,,0
21600.0,22200.0,-10141,16.48,1.65,1.65,16,0.83,14.28,0.0,14
21600.0,22200.0,-10142,,,,0,,,,0
21600.0,22200.0,-10143,,,,0,,,,0
21600.0,22200.0,-10144,8.85,0.41,0.41,2,0.18,2.92,0.0,1
21600.0,22200.0,-10145,8.06,0.45,0.45,2,0.2,7.9,0.0,2
21600.0,22200.0,-10146,8.37,0.41,0.41,2,0.2,22.52,0.0,2
21600.0,22200.0,-10147,13.65,0.79,0.79,6,0.37,6.79,0.0,7
21600.0,22200.0,-10148,,,,0,,,,0
21600.0,22200.0,-10149,15.75,4.44,4.44,37,2.15,2.66,0.0,38
21600.0,22200.0,-1015,0.6,110.16,55.08,34,24.49,63.31,2176.0,33
21600.0,22200.0,-10150,8.47,1.7,1.7,8,0.84,46.11,0.0,9
21600.0,22200.0,-10151,6.81,0.9,0.9,3,0.36,3.16,0.0,3
21600.0,22200.0,-10152,,,,0,,,,0
21600.0,22200.0,-10153,8.1,1.99,1.99,9,0.98,65.84,0.0,10
21600.0,22200.0,-10154,8.14,2.2,2.2,10,1.02,8.3,0.0,10
21600.0,22200.0,-10155,8.06,2.26,2.26,10,1.03,6.83,0.0,10
21600.0,22200.0,-10156,,,,0,,,,0
21600.0,22200.0,-10157,,,,0,,,,0
21600.0,22200.0,-10158,8.19,0.41,0.41,2,0.2,47.85,0.0,2
21600.0,22200.0,-10159,8.18,1.56,1.56,7,0.71,6.42,0.0,7
21600.0,22200.0,-1016,28.32,2.44,1.22,40,0.7,7.41,0.0,41
21600.0,22200.0,-10160,16.14,1.4,1.4,13,0.71,23.37,0.0,15
21600.0,22200.0,-10161,,,,0,,,,0
21600.0,22200.0,-10162,12.1,0.15,0.15,1,0.07,5.65,0.0,1
21600.0,22200.0,-10163,8.28,0.2,0.2,1,0.1,41.52,0.0,1
21600.0,22200.0,-10164,6.84,0.25,0.25,1,0.12,38.78,0.0,1
21600.0,22200.0,-10165,7.01,0.48,0.48,1,0.24,38.83,0.0,2
21600.0,22200.0,-10166,7.39,0.25,0.25,1,0.11,7.06,0.0,1
21600.0,22200.0,-10167,7.4,0.23,0.23,1,0.11,53.13,0.0,1
21600.0,22200.0,-10168,15.44,2.74,2.74,25,1.37,18.81,0.0,23
21600.0,22200.0,-10169,,,,0,,,,0
21600.0,22200.0,-1017,28.17,2.52,1.26,41,0.73,24.47,0.0,44
21600.0,22200.0,-10170,,,,0,,,,0
21600.0,22200.0,-10171,,,,0,,,,0
21600.0,22200.0,-10172,18.75,0.46,0.23,5,0.11,7.17,0.0,4
21600.0,22200.0,-10173,,,,0,,,,0
21600.0,22200.0,-10174,,,,0,,,,0
21600.0,22200.0,-10175,16.75,0.2,0.2,2,0.1,32.35,0.0,2
21600.0,22200.0,-10176,0.31,12.42,12.42,1,3.48,27.4,26.0,1
21600.0,22200.0,-10177,16.96,0.11,0.11,1,0.05,3.04,0.0,1
21600.0,22200.0,-10178,15.65,0.11,0.11,1,0.05,7.49,0.0,1
21600.0,22200.0,-10179,10.94,0.34,0.34,2,0.15,4.11,0.0,2
21600.0,22200.0,-1018,26.91,8.1,2.03,124,1.03,4.09,0.0,125
21600.0,22200.0,-10180,,,,0,,,,0
21600.0,22200.0,-10181,17.28,0.87,0.87,9,0.45,62.23,0.0,9
21600.0,22200.0,-10182,8.01,0.42,0.42,2,0.21,152.74,0.0,1
21600.0,22200.0,-10183,,,,0,,,,0
21600.0,22200.0,-10184,20.29,0.08,0.08,1,0.04,6.3,0.0,0
21600.0,22200.0,-10185,,,,0,,,,0
21600.0,22200.0,-10186,17.98,0.09,0.09,1,0.04,8.54,0.0,0
21600.0,22200.0,-10187,,,,0,,,,0
21600.0,22200.0,-10188,,,,0,,,,0
21600.0,22200.0,-10189,12.91,0.13,0.13,1,0.06,8.81,0.0,1
21600.0,22200.0,-1019,26.91,8.32,2.08,125,1.03,2.65,0.0,125
21600.0,22200.0,-10190,,,,0,,,,0
21600.0,22200.0,-10191,,,,0,,,,0
21600.0,22200.0,-10192,,,,0,,,,0
21600.0,22200.0,-10193,18.99,1.07,1.07,11,0.53,18.07,0.0,13
21600.0,22200.0,-10194,18.26,1.24,1.24,13,0.59,6.47,0.0,13
21600.0,22200.0,-10195,,,,0,,,,0
21600.0,22200.0,-10196,,,,0,,,,0
21600.0,22200.0,-10197,,,,0,,,,0
21600.0,22200.0,-10198,8.2,0.21,0.21,1,0.1,24.0,0.0,1
21600.0,22200.0,-10199,,,,0,,,,0
21600.0,22200.0,-1020,26.61,4.97,1.24,75,0.64,5.91,0.0,78
21600.0,22200.0,-10200,7.59,0.22,0.22,1,0.11,26.21,0.0,0
21600.0,22200.0,-10201,,,,0,,,,0
21600.0,22200.0,-10202,,,,0,,,,0
21600.0,22200.0,-10203,,,,0,,,,0
21600.0,22200.0,-10204,8.82,0.2,0.2,1,0.09,11.87,0.0,1
21600.0,22200.0,-10205,,,,0,,,,0
21600.0,22200.0,-10206,8.95,0.19,0.19,1,0.09,69.73,0.0,0
21600.0,22200.0,-10207,,,,0,,,,0
21600.0,22200.0,-10208,,,,0,,,,0
21600.0,22200.0,-10209,19.2,0.12,0.12,1,0.06,4.01,0.0,1
21600.0,22200.0,-1021,29.16,2.85,0.95,43,0.46,1.19,0.0,43
21600.0,22200.0,-10210,,,,0,,,,0
21600.0,22200.0,-10211,7.45,1.24,1.24,5,0.55,4.83,0.0,4
21600.0,22200.0,-10212,7.2,0.23,0.23,1,0.34,16.99,0.0,0
21600.0,22200.0,-10213,7.96,0.69,0.69,3,0.31,6.6,0.0,3
21600.0,22200.0,-10214,4.27,1.94,1.94,3,0.51,1.05,0.0,2
21600.0,22200.0,-10215,7.62,0.47,0.47,2,0.22,8.02,0.0,2
21600.0,22200.0,-10216,7.52,0.46,0.46,2,0.21,7.21,0.0,1
21600.0,22200.0,-10217,6.85,0.24,0.24,1,0.11,10.0,0.0,0
21600.0,22200.0,-10218,,,,0,,,,0
21600.0,22200.0,-10219,,,,0,,,,0
21600.0,22200.0,-1022,19.1,3.63,1.81,40,0.93,7.15,0.0,40
21600.0,22200.0,-10220,,,,0,,,,0
21600.0,22200.0,-10221,,,,0,,,,0
21600.0,22200.0,-10222,15.23,5.77,5.77,45,2.44,1.88,0.0,44
21600.0,22200.0,-10223,18.31,3.01,3.01,32,1.46,8.54,0.0,32
21600.0,22200.0,-10224,,,,0,,,,0
21600.0,22200.0,-10225,,,,0,,,,0
21600.0,22200.0,-10226,8.7,0.78,0.78,4,0.38,29.26,0.0,4
21600.0,22200.0,-10227,,,,0,,,,0
21600.0,22200.0,-10228,8.22,0.61,0.61,3,0.3,18.95,0.0,1
21600.0,22200.0,-10229,,,,0,,,,0
21600.0,22200.0,-1023,2.59,32.01,16.01,36,7.51,6.85,184.0,36
21600.0,22200.0,-10230,8.76,0.21,0.21,1,0.11,44.09,0.0,0
21600.0,22200.0,-10231,8.62,0.2,0.2,0,0.1,10.99,0.0,1
21600.0,22200.0,-10232,,,,0,,,,0
21600.0,22200.0,-10233,,,,0,,,,0
21600.0,22200.0,-10234,,,,0,,,,0
21600.0,22200.0,-10235,,,,0,,,,0
21600.0,22200.0,-10236,,,,0,,,,0
21600.0,22200.0,-10237,,,,0,,,,0
21600.0,22200.0,-10238,,,,0,,,,0
21600.0,22200.0,-10239,,,,0,,,,0
21600.0,22200.0,-1024,18.31,4.38,2.19,45,1.46,7.33,0.0,46
21600.0,22200.0,-10240,6.73,0.28,0.28,1,0.12,6.67,0.0,1
21600.0,22200.0,-10241,,,,0,,,,0
21600.0,22200.0,-10242,,,,0,,,,0
21600.0,22200.0,-10243,,,,0,,,,0
21600.0,22200.0,-10244,,,,0,,,,0
21600.0,22200.0,-10245,2.67,0.62,0.62,1,0.22,3.15,0.0,0
21600.0,22200.0,-10246,6.05,1.05,1.05,3,0.41,2.77,0.0,3
21600.0,22200.0,-10247,,,,0,,,,0
21600.0,22200.0,-10248,,,,0,,,,0
21600.0,22200.0,-10249,7.62,2.95,2.95,13,1.42,20.71,0.0,14
21600.0,22200.0,-1025,22.64,3.48,1.74,46,1.19,11.3,0.0,46
21600.0,22200.0,-10250,7.73,1.97,1.97,9,0.97,47.55,0.0,9
21600.0,22200.0,-10251,7.74,0.44,0.44,2,0.21,21.19,0.0,1
21600.0,22200.0,-10252,7.89,0.66,0.66,3,0.31,9.51,0.0,2
21600.0,22200.0,-10253,7.94,0.89,0.89,4,0.42,9.6,0.0,4
21600.0,22200.0,-10254,,,,0,,,,0
21600.0,22200.0,-10255,,,,0,,,,0
21600.0,22200.0,-10256,,,,0,,,,0
21600.0,22200.0,-10257,,,,0,,,,0
21600.0,22200.0,-10258,,,,0,,,,0
21600.0,22200.0,-10259,8.61,0.79,0.79,4,0.39,23.94,0.0,4
21600.0,22200.0,-1026,26.23,4.15,2.07,60,0.97,2.21,0.0,60
21600.0,22200.0,-10260,7.3,0.23,0.23,1,0.1,4.14,0.0,0
21600.0,22200.0,-10261,9.09,0.37,0.37,2,0.18,22.98,0.0,1
21600.0,22200.0,-10262,7.29,0.23,0.23,1,0.11,15.72,0.0,0
21600.0,22200.0,-10263,16.35,1.96,1.96,19,0.96,31.81,0.0,19
21600.0,22200.0,-10264,6.21,2.15,2.15,7,0.94,5.31,3.0,7
21600.0,22200.0,-10265,8.2,0.85,0.85,4,0.41,12.59,0.0,4
21600.0,22200.0,-10266,8.05,0.86,0.86,4,0.41,14.77,0.0,4
21600.0,22200.0,-10267,7.34,0.23,0.23,1,0.11,12.2,0.0,0
21600.0,22200.0,-10268,8.21,0.2,0.2,1,0.1,30.66,0.0,0
21600.0,22200.0,-10269,8.19,0.2,0.2,1,0.1,27.73,0.0,0
21600.0,22200.0,-1027,24.05,4.38,2.19,60,1.11,21.68,0.0,64
21600.0,22200.0,-10270,,,,0,,,,0
21600.0,22200.0,-10271,7.6,0.44,0.44,2,0.22,35.87,0.0,1
21600.0,22200.0,-10272,,,,0,,,,0
21600.0,22200.0,-10273,7.53,0.24,0.24,1,0.11,10.57,0.0,1
21600.0,22200.0,-10274,,,,0,,,,0
21600.0,22200.0,-10275,7.98,0.43,0.43,2,0.21,18.24,0.0,2
21600.0,22200.0,-10276,6.88,0.97,0.97,4,0.48,68.83,0.0,1
21600.0,22200.0,-10277,,,,0,,,,0
21600.0,22200.0,-10278,7.31,0.7,0.7,3,0.33,16.09,0.0,2
21600.0,22200.0,-10279,8.31,0.84,0.84,4,0.4,11.99,0.0,4
21600.0,22200.0,-1028,24.11,0.17,0.09,2,0.03,0.87,0.0,2
21600.0,22200.0,-10280,6.57,1.37,1.37,4,0.52,2.17,0.0,4
21600.0,22200.0,-10281,,,,0,,,,0
21600.0,22200.0,-10282,8.19,0.2,0.2,1,0.1,55.92,0.0,0
21600.0,22200.0,-10283,9.67,0.17,0.17,1,0.09,61.93,0.0,0
21600.0,22200.0,-10284,12.98,0.93,0.93,7,0.45,21.0,0.0,7
21600.0,22200.0,-10285,15.39,2.08,2.08,19,1.05,34.61,0.0,18
21600.0,22200.0,-10286,13.21,0.78,0.78,5,0.36,8.91,0.0,4
21600.0,22200.0,-10287,,,,0,,,,0
21600.0,22200.0,-10288,,,,0,,,,0
21600.0,22200.0,-10289,,,,0,,,,0
21600.0,22200.0,-1029,24.14,0.14,0.07,2,0.03,7.55,0.0,2
21600.0,22200.0,-10290,8.79,0.19,0.19,1,0.09,34.86,0.0,0
21600.0,22200.0,-10291,12.51,0.43,0.43,3,0.2,6.16,0.0,3
21600.0,22200.0,-10292,16.77,0.33,0.33,3,0.15,2.89,0.0,3
21600.0,22200.0,-10293,,,,0,,,,0
21600.0,22200.0,-10294,,,,0,,,,0
21600.0,22200.0,-10295,16.74,1.52,1.52,15,0.74,18.5,0.0,14
21600.0,22200.0,-10296,15.11,0.22,0.22,2,0.11,24.0,0.0,2
21600.0,22200.0,-10297,8.04,1.69,1.69,8,0.82,24.06,0.0,6
21600.0,22200.0,-10298,7.55,0.23,0.23,1,0.11,27.31,0.0,1
21600.0,22200.0,-10299,16.29,0.1,0.1,1,0.05,61.77,0.0,0
21600.0,22200.0,-1030,30.57,2.62,0.87,45,0.47,4.93,0.0,46
21600.0,22200.0,-10300,16.64,0.1,0.1,1,0.05,7.36,0.0,0
21600.0,22200.0,-10301,,,,0,,,,0
21600.0,22200.0,-10302,,,,0,,,,0
21600.0,22200.0,-10303,,,,0,,,,0
21600.0,22200.0,-10304,,,,0,,,,0
21600.0,22200.0,-10305,8.36,0.2,0.2,1,0.1,23.83,0.0,0
21600.0,22200.0,-10306,11.55,0.14,0.14,1,0.07,21.49,0.0,0
21600.0,22200.0,-10307,,,,0,,,,0
21600.0,22200.0,-10308,8.69,0.19,0.19,1,0.09,21.1,0.0,0
21600.0,22200.0,-10309,,,,0,,,,0
21600.0,22200.0,-1031,17.99,4.78,4.78,49,2.37,11.48,0.0,53
21600.0,22200.0,-10310,,,,0,,,,0
21600.0,22200.0,-10311,,,,0,,,,0
21600.0,22200.0,-10312,20.0,0.13,0.13,1,0.04,0.41,0.0,1
21600.0,22200.0,-10313,,,,0,,,,0
21600.0,22200.0,-10314,17.72,0.28,0.28,3,0.14,21.71,0.0,2
21600.0,22200.0,-10315,8.31,0.45,0.45,2,0.22,107.47,0.0,3
21600.0,22200.0,-10316,,,,0,,,,0
21600.0,22200.0,-10317,8.75,0.2,0.2,1,0.09,11.35,0.0,1
21600.0,22200.0,-10318,,,,0,,,,0
21600.0,22200.0,-10319,8.99,0.19,0.19,1,0.09,18.43,0.0,1
21600.0,22200.0,-1032,25.82,3.29,3.29,2,0.06,0.01,0.0,1
21600.0,22200.0,-10320,8.78,0.19,0.19,1,0.09,7.89,0.0,0
21600.0,22200.0,-10321,,,,0,,,,0
21600.0,22200.0,-10322,,,,0,,,,0
21600.0,22200.0,-10323,,,,0,,,,0
21600.0,22200.0,-10324,,,,0,,,,0
21600.0,22200.0,-10325,,,,0,,,,0
21600.0,22200.0,-10326,7.75,0.43,0.43,2,0.21,69.91,0.0,2
21600.0,22200.0,-10327,,,,0,,,,0
21600.0,22200.0,-10328,,,,0,,,,0
21600.0,22200.0,-10329,,,,0,,,,0
21600.0,22200.0,-1033,21.8,0.16,0.16,2,0.08,12.69,0.0,2
21600.0,22200.0,-10330,,,,0,,,,0
21600.0,22200.0,-10331,,,,0,,,,0
21600.0,22200.0,-10332,,,,0,,,,0
21600.0,22200.0,-10333,,,,0,,,,0
21600.0,22200.0,-10334,7.09,0.24,0.24,1,0.12,41.67,0.0,0
21600.0,22200.0,-10335,,,,0,,,,0
21600.0,22200.0,-10336,7.56,0.22,0.22,1,0.11,13.2,0.0,0
21600.0,22200.0,-10337,,,,0,,,,0
21600.0,22200.0,-10338,,,,0,,,,0
21600.0,22200.0,-10339,8.04,0.21,0.21,1,0.1,113.18,0.0,0
21600.0,22200.0,-1034,21.08,0.18,0.18,2,0.08,2.3,0.0,3
21600.0,22200.0,-10340,7.45,4.23,4.23,17,2.69,11.65,0.0,17
21600.0,22200.0,-10341,7.58,3.98,3.98,17,2.63,28.13,0.0,19
21600.0,22200.0,-10342,,,,0,,,,0
21600.0,22200.0,-10343,8.32,0.2,0.2,1,0.1,80.14,0.0,1
21600.0,22200.0,-10344,,,,0,,,,0
21600.0,22200.0,-10345,5.65,0.29,0.29,1,0.13,6.31,0.0,0
21600.0,22200.0,-10346,6.17,0.54,0.54,2,0.5,10.6,0.0,0
21600.0,22200.0,-10347,,,,0,,,,0
21600.0,22200.0,-10348,,,,0,,,,0
21600.0,22200.0,-10349,,,,0,,,,0
21600.0,22200.0,-1035,21.32,1.23,1.23,15,0.6,21.23,0.0,16
21600.0,22200.0,-10350,,,,0,,,,0
21600.0,22200.0,-10351,7.71,0.25,0.25,1,0.11,4.1,0.0,1
21600.0,22200.0,-10352,8.14,0.21,0.21,1,0.1,25.17,0.0,1
21600.0,22200.0,-10353,,,,0,,,,0
21600.0,22200.0,-10354,,,,0,,,,0
21600.0,22200.0,-10355,7.9,0.21,0.21,1,0.1,13.43,0.0,0
21600.0,22200.0,-10356,8.46,0.2,0.2,0,0.1,11.46,0.0,1
21600.0,22200.0,-10357,7.84,0.24,0.24,1,0.11,4.48,0.0,1
21600.0,22200.0,-10358,,,,0,,,,0
21600.0,22200.0,-10359,,,,0,,,,0
21600.0,22200.0,-1036,17.8,0.63,0.63,6,0.31,49.22,0.0,7
21600.0,22200.0,-10360,,,,0,,,,0
21600.0,22200.0,-10361,,,,0,,,,0
