time,speed,acceleration,vehicle_ref,actorConfig_id,actorConfig_emissionClass,actorConfig_fuel,actorConfig_ref,actorConfig_vehicleClass
21668000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21669000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21670000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21671000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21672000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21673000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21674000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21675000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21676000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21677000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21678000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21679000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21680000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21681000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21682000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21683000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21684000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21685000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21686000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21687000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21688000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21689000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21690000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21691000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21692000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21693000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
