time,speed,acceleration,vehicle_ref,actorConfig_id,actorConfig_emissionClass,actorConfig_fuel,actorConfig_ref,actorConfig_vehicleClass
21960000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21961000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21962000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21963000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21964000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21965000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21966000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21967000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21968000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21969000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21970000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21971000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21972000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21973000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21974000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21975000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21976000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21977000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21978000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21979000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21980000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21981000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21982000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21983000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21984000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21985000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21986000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21987000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21988000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21989000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21990000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21991000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21992000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21993000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21994000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21995000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21996000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21997000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21998000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
21999000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
22000000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
22001000,0,0,trip151970020_06:06:00,5,Euro4,Gasoline,Gillig_102,Passenger
