time,speed,acceleration,vehicle_ref,actorConfig_id,actorConfig_emissionClass,actorConfig_fuel,actorConfig_ref,actorConfig_vehicleClass
21900000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21901000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21902000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21903000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21904000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21905000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21906000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21907000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21908000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21909000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21910000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21911000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21912000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21913000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21914000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21915000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21916000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21917000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21918000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21919000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21920000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21921000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21922000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21923000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21924000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21925000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21926000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21927000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21928000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21929000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21930000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21931000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21932000,115,1150,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21933000,191,756,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21934000,265,747,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21935000,346,805,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21936000,432,861,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21937000,422,-100,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21938000,97,-3248,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21939000,28,-693,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21940000,4,-238,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21941000,1,-30,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21942000,0,-5,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21943000,0,0,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21944000,66,658,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21945000,196,1300,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21946000,308,1121,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21947000,412,1041,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21948000,535,1227,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21949000,612,770,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21950000,691,792,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21951000,790,994,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21952000,897,1062,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21953000,998,1011,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21954000,1118,1203,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21955000,1203,854,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21956000,883,-3207,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21957000,482,-4001,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21958000,116,-3663,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21959000,50,-657,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
21960000,4,-458,trip151732020_06:05:00,5,Euro4,Gasoline,Gillig_102,Passenger
