trip_id,id,type,busStop,lane,pos,parking,started,ended,delay,arrivalDelay,initialPersons,loadedPersons,unloadedPersons,initialContainers,loadedContainers,unloadedContainers,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,route_id,block_id,block_name,start_diff
206356020,501,Gillig_106,1883,785729520#20_0,1.96,0,21675.0,21676.00,75.00,75.00,0,0,0,0,0,0,501,20220111 06:21,21600,25200,1883,1351,4,5002,403,75.0
206128020,113,Gillig_103,1351,862527355#0_0,129.33,0,21923.0,21924.00,23.00,23.00,0,2,0,0,0,0,113,20220111 06:03,21900,24000,1351,1925,3,3602,301,23.0
204919020,123,Gillig_103,1351,861011659_0,111.31,0,21951.0,21953.00,352.00,351.00,4,0,4,0,0,0,123,20220111 06:20,21600,23400,1351,95,1,502,102,351.0
204951020,147,Gillig_101,95,861011637#0_0,92.76,0,22217.0,22218.00,17.00,17.00,1,0,0,0,0,0,147,20220111 06:06,22200,24300,95,145,1,102,101,17.0
205252020,150,Gillig_101,1555,862070076#0_0,133.27,0,22452.0,22454.00,253.00,252.00,2,2,1,0,0,0,150,20220111 06:20,22200,24000,1555,1710,13,1202,1301,252.0
205085020,146,Gillig_107,1870,861029874#0_0,97.03,0,22561.0,22562.00,1.00,1.00,0,0,0,0,0,0,146,20220111 06:16,22560,24900,1870,1351,10A,702,104,1.0
205143020,154,Gillig_101,2092,-19509210_0,249.72,0,22861.0,22862.00,1.00,1.00,0,2,0,0,0,0,154,20220111 06:15,22860,26100,2092,221,10C,202,1015,1.0
206037020,126,Gillig_103,779,45468247#2_0,423.03,0,22913.0,22914.00,113.00,113.00,1,0,0,0,0,0,126,20220111 06:57,22800,24000,779,12,28,3402,2801,113.0
204950020,123,Gillig_103,95,861011637#0_0,92.77,0,23419.0,23420.00,19.00,19.00,2,0,0,0,0,0,123,20220111 06:27,23400,25500,95,145,1,502,102,19.0
206309020,504,Gillig_105,1351,861011659_0,111.29,0,23447.0,23448.00,47.00,47.00,3,0,1,0,0,0,504,20220111 06:25,23400,27000,1351,1876,4,4902,402,47.0
206127020,124,Gillig_103,1351,861011659_0,111.28,0,23455.0,23457.00,56.00,55.00,0,4,0,0,0,0,124,20220111 06:30,23700,25800,1351,1925,3,3702,302,245.0
206778020,138,Gillig_102,354,-19509210_0,249.72,0,23461.0,23463.00,2.00,1.00,0,3,0,0,0,0,138,20220111 06:25,23460,25500,354,1710,9,7102,902,1.0
204918020,129,Gillig_103,1351,861011659_0,111.29,0,23465.0,23466.00,65.00,65.00,0,0,0,0,0,0,129,20220111 06:25,23400,25200,1351,95,1,802,105,65.0
205778020,140,Gillig_102,2086,862393022#0_0,101.16,0,23763.0,23764.00,363.00,363.00,0,0,0,0,0,0,140,20220111 06:32,23400,26400,2086,354,16,7602,907,363.0
206131020,113,Gillig_103,1925,861288897#0_0,75.90,0,24046.0,24047.00,46.00,46.00,0,0,0,0,0,0,113,20220111 06:42,24000,26400,1925,1351,3,3602,301,46.0
205265020,150,Gillig_101,1710,9520016_0,78.20,0,24167.0,24168.00,167.00,167.00,0,0,0,0,0,0,150,20220111 06:43,24000,25800,1710,1589,13,1202,1301,167.0
205147020,136,Gillig_102,2235,-861308193#6_0,10.69,0,24182.0,24183.00,782.00,782.00,1,1,0,0,0,0,136,20220111 06:52,23400,26400,2235,1351,10C,402,1018,782.0
