time,time_ms,speed,acceleration,vehicle_ref,actorConfig_id,actorConfig_emissionClass,actorConfig_fuel,actorConfig_ref,actorConfig_vehicleClass
06:42:17,24137000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:18,24138000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:19,24139000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:20,24140000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:21,24141000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:22,24142000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:23,24143000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:24,24144000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:25,24145000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:26,24146000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:27,24147000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:28,24148000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:29,24149000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:30,24150000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:31,24151000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:32,24152000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:33,24153000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:34,24154000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:35,24155000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:36,24156000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:37,24157000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:38,24158000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:39,24159000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:40,24160000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:41,24161000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:42,24162000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:43,24163000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
06:42:44,24164000,0,0,Route16_trip152040020_06:41:00,6,Euro4,Gasoline,Gillig_102,Passenger
