trip_id,vid,vehicle_type,vehicle_actual_name,fuel_type,gtfs_trip_id,gtfs_time_start,gtfs_time_end
205762,111,Gillig_103,Gillig HF 35' 2002,diesel,205762,07:25:00,08:00:00
205395,140,Gillig_102,Gillig HF 2006,diesel,205395,07:35:00,07:54:00
205189,123,Gillig_103,Gillig HF 35' 2002,diesel,205189,07:35:00,08:30:00
206941,703,Gillig_108,BYD_BEV,electric,206941,07:30:00,07:45:00
205171,129,Gillig_103,Gillig HF 35' 2002,diesel,205171,07:35:00,08:05:00
206064,727,Gillig_108,BYD_BEV,electric,206064,07:30:00,07:45:00
205526,144,Gillig_102,Gillig HF 2006,diesel,205526,07:40:00,07:51:00
205264,150,Gillig_101,Gillig LF 35' 2014,diesel,205264,07:40:00,08:10:00
206035,126,Gillig_103,Gillig HF 35' 2002,diesel,206035,07:40:00,08:00:00
205737,138,Gillig_102,Gillig HF 2006,diesel,205737,07:40:00,08:10:00
206866,703,Gillig_108,BYD_BEV,electric,206866,07:45:00,08:00:00
205925,134,Gillig_103,Gillig HF 35' 2002,diesel,205925,07:45:00,08:00:00
204915,147,Gillig_101,Gillig LF 35' 2014,diesel,204915,07:45:00,07:53:20
204947,506,Gillig_105,Gillig 35' Hybrids 2014,hybrid,204947,07:50:00,08:25:00
206086,727,Gillig_108,BYD_BEV,electric,206086,07:45:00,08:00:00
205394,144,Gillig_102,Gillig HF 2006,diesel,205394,07:51:00,08:01:00
205511,143,Gillig_102,Gillig HF 2006,diesel,205511,07:47:00,07:58:00
206344,501,Gillig_106,Gillig 37' Hybrids 2009,hybrid,206344,08:00:00,09:00:00
205496,140,Gillig_102,Gillig HF 2006,diesel,205496,07:54:00,08:05:00
206133,113,Gillig_103,Gillig HF 35' 2002,diesel,206133,07:55:00,08:55:00
205141,124,Gillig_103,Gillig HF 35' 2002,diesel,205141,08:00:00,08:40:00
205380,143,Gillig_102,Gillig HF 2006,diesel,205380,07:58:00,08:08:00
206017,126,Gillig_103,Gillig HF 35' 2002,diesel,206017,08:00:00,08:20:00
204914,145,Gillig_107,Gillig LF 37' 2009,diesel,204914,08:04:38,08:25:00
206943,703,Gillig_108,BYD_BEV,electric,206943,08:00:00,08:15:00
206065,727,Gillig_108,BYD_BEV,electric,206065,08:00:00,08:15:00
205947,134,Gillig_103,Gillig HF 35' 2002,diesel,205947,08:00:00,08:18:00
206299,120,Gillig_103,Gillig HF 35' 2002,diesel,206299,08:00:00,09:00:00
205525,144,Gillig_102,Gillig HF 2006,diesel,205525,08:01:00,08:12:00
205653,728,Gillig_108,BYD_BEV,electric,205653,08:00:00,08:25:00
205366,140,Gillig_102,Gillig HF 2006,diesel,205366,08:05:00,08:15:00
206776,111,Gillig_103,Gillig HF 35' 2002,diesel,206776,08:00:00,08:30:00
205077,129,Gillig_103,Gillig HF 35' 2002,diesel,205077,08:05:00,08:35:00
205149,136,Gillig_102,Gillig HF 2006,diesel,205149,08:10:00,09:20:00
205060,146,Gillig_107,Gillig LF 37' 2009,diesel,205060,08:00:00,08:30:00
204946,147,Gillig_101,Gillig LF 35' 2014,diesel,204946,08:15:00,08:50:00
205250,150,Gillig_101,Gillig LF 35' 2014,diesel,205250,08:10:00,08:40:00
206868,703,Gillig_108,BYD_BEV,electric,206868,08:15:00,08:30:00
205498,143,Gillig_102,Gillig HF 2006,diesel,205498,08:08:00,08:19:00
206087,727,Gillig_108,BYD_BEV,electric,206087,08:15:00,08:30:00
205393,144,Gillig_102,Gillig HF 2006,diesel,205393,08:12:00,08:22:00
205761,138,Gillig_102,Gillig HF 2006,diesel,205761,08:10:00,08:40:00
205495,140,Gillig_102,Gillig HF 2006,diesel,205495,08:15:00,08:26:00
206034,126,Gillig_103,Gillig HF 35' 2002,diesel,206034,08:20:00,08:45:00
205911,134,Gillig_103,Gillig HF 35' 2002,diesel,205911,08:20:00,08:35:00
205379,143,Gillig_102,Gillig HF 2006,diesel,205379,08:19:00,08:29:00
205668,728,Gillig_108,BYD_BEV,electric,205668,08:25:00,08:50:00
205524,144,Gillig_102,Gillig HF 2006,diesel,205524,08:22:00,08:33:00
205188,146,Gillig_107,Gillig LF 37' 2009,diesel,205188,08:30:00,09:20:00
205365,140,Gillig_102,Gillig HF 2006,diesel,205365,08:26:00,08:36:00
206300,504,Gillig_105,Gillig 35' Hybrids 2014,hybrid,206300,08:30:00,09:30:00
205170,506,Gillig_105,Gillig 35' Hybrids 2014,hybrid,205170,08:25:00,08:55:00
205392,144,Gillig_102,Gillig HF 2006,diesel,205392,08:33:00,08:43:00
206066,727,Gillig_108,BYD_BEV,electric,206066,08:30:00,08:45:00
206945,703,Gillig_108,BYD_BEV,electric,206945,08:30:00,08:45:00
205510,143,Gillig_102,Gillig HF 2006,diesel,205510,08:29:00,08:40:00
206797,111,Gillig_103,Gillig HF 35' 2002,diesel,206797,08:30:00,09:00:00
204913,129,Gillig_103,Gillig HF 35' 2002,diesel,204913,08:40:54,08:50:00
205150,124,Gillig_103,Gillig HF 35' 2002,diesel,205150,08:40:00,09:29:00
205494,140,Gillig_102,Gillig HF 2006,diesel,205494,08:36:00,08:47:00
205933,134,Gillig_103,Gillig HF 35' 2002,diesel,205933,08:35:00,08:53:00
205263,150,Gillig_101,Gillig LF 35' 2014,diesel,205263,08:40:00,09:10:00
205378,143,Gillig_102,Gillig HF 2006,diesel,205378,08:40:00,08:50:00
206016,126,Gillig_103,Gillig HF 35' 2002,diesel,206016,08:45:00,09:05:00
206870,703,Gillig_108,BYD_BEV,electric,206870,08:45:00,09:00:00
206775,138,Gillig_102,Gillig HF 2006,diesel,206775,08:40:00,09:10:00
205523,144,Gillig_102,Gillig HF 2006,diesel,205523,08:43:00,08:54:00
206088,727,Gillig_108,BYD_BEV,electric,206088,08:45:00,09:00:00
204888,119,Gillig_103,Gillig HF 35' 2002,diesel,204888,09:04:23,09:30:00
205364,140,Gillig_102,Gillig HF 2006,diesel,205364,08:47:00,08:57:00
205059,147,Gillig_101,Gillig LF 35' 2014,diesel,205059,08:50:00,09:20:00
205509,143,Gillig_102,Gillig HF 2006,diesel,205509,08:50:00,09:01:00
205736,135,Gillig_102,Gillig HF 2006,diesel,205736,08:30:00,09:00:00
205391,144,Gillig_102,Gillig HF 2006,diesel,205391,08:54:00,09:04:00
206342,120,Gillig_103,Gillig HF 35' 2002,diesel,206342,09:00:00,10:00:00
206067,727,Gillig_108,BYD_BEV,electric,206067,09:00:00,09:15:00
205920,134,Gillig_103,Gillig HF 35' 2002,diesel,205920,08:55:00,09:10:00
205735,111,Gillig_103,Gillig HF 35' 2002,diesel,205735,09:00:00,09:30:00
205068,506,Gillig_105,Gillig 35' Hybrids 2014,hybrid,205068,08:55:00,09:25:00
206947,703,Gillig_108,BYD_BEV,electric,206947,09:00:00,09:15:00
206298,501,Gillig_106,Gillig 37' Hybrids 2009,hybrid,206298,09:00:00,10:00:00
205493,140,Gillig_102,Gillig HF 2006,diesel,205493,08:57:00,09:08:00
205760,135,Gillig_102,Gillig HF 2006,diesel,205760,09:00:00,09:50:00
204944,129,Gillig_103,Gillig HF 35' 2002,diesel,204944,09:05:00,09:40:00
205522,144,Gillig_102,Gillig HF 2006,diesel,205522,09:04:00,09:15:00
206033,126,Gillig_103,Gillig HF 35' 2002,diesel,206033,09:05:00,09:30:00
205652,728,Gillig_108,BYD_BEV,electric,205652,08:50:00,09:15:00
205377,143,Gillig_102,Gillig HF 2006,diesel,205377,09:01:00,09:11:00
205363,140,Gillig_102,Gillig HF 2006,diesel,205363,09:08:00,09:18:00
206872,703,Gillig_108,BYD_BEV,electric,206872,09:15:00,09:30:00
205942,134,Gillig_103,Gillig HF 35' 2002,diesel,205942,09:10:00,09:40:00
205249,150,Gillig_101,Gillig LF 35' 2014,diesel,205249,09:10:00,09:40:00
205390,144,Gillig_102,Gillig HF 2006,diesel,205390,09:15:00,09:25:00
206089,727,Gillig_108,BYD_BEV,electric,206089,09:15:00,09:30:00
205187,147,Gillig_101,Gillig LF 35' 2014,diesel,205187,09:20:00,09:50:00
205508,143,Gillig_102,Gillig HF 2006,diesel,205508,09:11:00,09:22:00
205169,145,Gillig_107,Gillig LF 37' 2009,diesel,205169,09:15:00,09:45:00
206792,138,Gillig_102,Gillig HF 2006,diesel,206792,09:10:00,09:40:00
205667,728,Gillig_108,BYD_BEV,electric,205667,09:15:00,09:40:00
204912,506,Gillig_105,Gillig 35' Hybrids 2014,hybrid,204912,09:27:43,09:40:00
205492,140,Gillig_102,Gillig HF 2006,diesel,205492,09:18:00,09:29:00
206774,136,Gillig_102,Gillig HF 2006,diesel,206774,09:11:00,09:50:00
205376,143,Gillig_102,Gillig HF 2006,diesel,205376,09:22:00,09:32:00
206343,504,Gillig_105,Gillig 35' Hybrids 2014,hybrid,206343,09:30:00,10:45:00
206015,126,Gillig_103,Gillig HF 35' 2002,diesel,206015,09:30:00,09:55:00
205521,144,Gillig_102,Gillig HF 2006,diesel,205521,09:25:00,09:36:00
206949,703,Gillig_108,BYD_BEV,electric,206949,09:30:00,09:45:00
205759,111,Gillig_103,Gillig HF 35' 2002,diesel,205759,09:30:00,10:05:00
206068,727,Gillig_108,BYD_BEV,electric,206068,09:30:00,09:45:00
205924,124,Gillig_103,Gillig HF 35' 2002,diesel,205924,09:30:00,09:45:00
