timepoint_id,timepoint_code,timepoint_name,timepoint_desc,timepoint_lat,timepoint_lon,zone_id,timepoint_url,location_type,parent_station,timepoint_timezone,wheelchair_boarding
254,2455,"TUNNEL BLVD + THROUGH",,35.043535,-85.238068,,,,,,2
256,1902,"HIXSON PK + ACCESS RD",,35.114353,-85.257142,,,,,,2
260,3348,"HAMMALL",,35.036784,-85.160408,,,,,,0
261,1060-cd,"TUNNEL BLVD + NORTH BRIAR",,35.060483,-85.229645,,,,,,0
262,1321,"BRAINERD RD + PISGAH",,35.010113,-85.220775,,,,,,2
263,2842,"GREENWAY VIEW DR + WALMART",,35.008370,-85.206820,,,,,,2
264,2913,"HOUSTON + WAREHOUSE ROW",,35.042185,-85.308418,,,,,,2
265,2551,"WILLOW + DUNCAN",,35.034157,-85.272273,,,,,,2
266,1427,"CAMPBELL + N.Y. AVE",,35.073402,-85.238100,,,,,,2
267,1332,"BRAINERD RD + TALLEY",,35.021633,-85.241327,,,,,,2
269,2087,"M.L.KING BLVD + PALMETTO",,35.041787,-85.297340,,,,,,2
270,495,"12TH + MARKET",,35.041823,-85.308990,,,,,,0
271,2218,"S MARKET + MAIN",,35.035862,-85.307322,,,,,,2
273,1555,"DODDS + 31ST",,35.005492,-85.279077,,,,,,2
277,1121,"3RD + COLLINS",,35.049630,-85.294607,,,,,,2
278,2252,"MCCALLIE AVE + KYLE",,35.030725,-85.260878,,,,,,2
281,2254,"MCCALLIE AVE + LUTHERAN CHURCH",,35.031137,-85.261625,,,,,,2
282,3382,"VOLKSWAGEN DR",,35.076699,-85.127349,,,,,,2
283,1493-cd,"TUNNEL + WILDWOOD",,35.055948,-85.232125,,,,,,0
285,2459,"UNION + BUCKLEY",,35.029373,-85.267665,,,,,,2
287,1483,"CHAMBERLAIN + EMMA",,35.061098,-85.251437,,,,,,2
288,1425,"HIGHWAY 153 + KMART",,35.135287,-85.246462,,,,,,2
289,2849,"BRAINERD RD + DOLLAR GENERAL",,35.023632,-85.245173,,,,,,2
291,1480,"CHAMBERLAIN + CUSHMAN",,35.069188,-85.246922,,,,,,2
292,803,"MARKET + 2ND",,35.054897,-85.309738,,,,,,0
293,868,"GREENWAY VIEW DRIVE + MARLIN",,35.010295,-85.207805,,,,,,0
296,58,"38TH + HUGHES",,35.005905,-85.311852,,,,,,0
297,2885,"HAMILTON PLACE BLVD + STARBUCKS",,35.039740,-85.155718,,,,,,2
299,2547,"WILLOW + 5TH",,35.038338,-85.270048,,,,,,2
301,2130,"MAIN + LYERLY",,35.023905,-85.274325,,,,,,2
302,3102,"MAIN + BEECH",,35.025717,-85.278838,,,,,,2
303,2126,"MAIN + JEFFERSON",,35.033467,-85.300248,,,,,,2
304,1470,"CHAMBERLAIN + BOONE",,35.068433,-85.247352,,,,,,2
305,1679,"GLENWOOD + 1101",,35.046325,-85.256825,,,,,,2
309,2208,"MARKET + EPB",,35.045383,-85.309452,,,,,,2
310,1423-cd,"PICCADILLYS",,35.128925,-85.240772,,,,,,0
312,153,"WORKMANS + CENTRAL",,34.998785,-85.314045,,,,,,0
314,1595-cd,"MARKET + 2ND",,35.054702,-85.309595,,,,,,0
315,1949,"HIXSON PK + MAULDETH",,35.110137,-85.270938,,,,,,2
318,1537,"DODDS + 19TH",,35.018160,-85.272273,,,,,,2
319,1692,"GLENWOOD + LAURA",,35.047993,-85.256587,,,,,,2
320,2221,"MARKET + MILLER PK",,35.045045,-85.309308,,,,,,2
323,2462,"UNION + WATKINS",,35.029870,-85.268952,,,,,,2
324,2164,"MARKET + 11TH",,35.044250,-85.309435,,,,,,2
325,1288,"BOYNTON + SENIOR NEIGHBORS",,35.046908,-85.320275,,,,,,2
326,1443,"CENTRAL + 38TH",,35.005313,-85.310675,,,,,,2
328,1965,"HIXSON PK + RIVER HILL",,35.090230,-85.286865,,,,,,2
329,56,"38TH + HIGHLAND",,35.006772,-85.314108,,,,,,0
331,1290,"BRAINERD RD + 3661",,35.023175,-85.244108,,,,,,2
333,1684-cd,"TENNESSEE AVE + BROAD",,35.014305,-85.325060,,,,,,0
334,1172,"4TH AVE + 26TH",,35.013765,-85.281970,,,,,,2
336,2448,"TUNNEL BLVD + FRANKS STORE",,35.036855,-85.240882,,,,,,2
337,1539,"DODDS + 21ST",,35.016920,-85.272942,,,,,,2
338,1959,"HIXSON PK + NORCROSS",,35.113337,-85.261402,,,,,,2
339,1663,"GATEWAY AVE + J.C. TOWERS",,35.046888,-85.318733,,,,,,2
340,1118,"3RD + CENTRAL",,35.046953,-85.288567,,,,,,2
341,1250,"BAILEY AVE + HAWTHORNE",,35.033995,-85.277693,,,,,,2
343,4,"ANGELA + 49TH",,34.991247,-85.304968,,,,,,2
344,1846,"SHALLOWFORD RD + SHALLOWFORD VILLAGE",,35.043372,-85.158008,,,,,,2
346,2870,"LEE HWY + JIM SNOW WAY",,35.024863,-85.194327,,,,,,2
347,2667,"33RD + DELONG",,35.015752,-85.316970,,,,,,2
350,1331,"BRAINERD RD + TALLEY RD",,35.021712,-85.241565,,,,,,2
352,2502,"WILCOX + DALEWOOD",,35.043738,-85.228595,,,,,,2
353,1123,"3RD + CSAS",,35.049773,-85.295337,,,,,,2
354,1678,"GLENWOOD + 1016 GLENWOOD",,35.046233,-85.256808,,,,,,2
357,2145,"MAIN + SLAYTON",,35.032247,-85.296990,,,,,,2
358,2549,"WILLOW + CHAMBERLAIN",,35.033347,-85.272718,,,,,,2
360,1490,"CHAMBERLAIN + LATTA",,35.064032,-85.249798,,,,,,2
361,1573,"DODDS + 43RD",,34.992633,-85.285720,,,,,,2
363,30,"ALTON PK BLVD + 31ST",,35.017532,-85.312932,,,,,,0
367,1323,"BRAINERD RD + SEMINOLE",,35.027568,-85.255045,,,,,,2
368,1484,"CHAMBERLAIN + FAIRLEIGH",,35.066995,-85.248130,,,,,,2
370,3310,"HOUSTON + 10TH",,35.043630,-85.306208,,,,,,2
376,2342,"ShoCam0",,35.057697,-85.267697,,,,,,2
377,3104,"DODDS + 46TH",,34.989840,-85.287310,,,,,,2
378,1661,"FRAZIER + TREMONT",,35.061810,-85.305097,,,,,,2
381,1198,"4TH + HIGH",,35.052095,-85.305668,,,,,,2
382,1845-cd,"TUNNEL + MILTON",,35.047673,-85.237150,,,,,,0
383,1298,"BRAINERD RD + STARBUCKS",,35.011406,-85.215050,,,,,,2
384,1485,"CHAMBERLAIN + FAIRLEIGH",,35.067210,-85.248115,,,,,,2
385,1170,"4TH AVE + 25TH",,35.014508,-85.281572,,,,,,2
386,35,"33RD + TEEN CHALLENGE",,35.016518,-85.318925,,,,,,0
387,1319,"BRAINERD RD + ORIOLE",,35.023245,-85.244522,,,,,,2
389,1153,"3RD + WIEHL",,35.047812,-85.290743,,,,,,2
390,61,"CENTRAL + HOOKER",,35.002233,-85.312455,,,,,,0
391,1448,"CENTRAL + 45TH",,34.999948,-85.313600,,,,,,2
393,1222,"7TH + MARKET",,35.048343,-85.309308,,,,,,2
398,1700,"GLENWOOD + PARKWOOD",,35.039538,-85.259638,,,,,,2
399,1379,"BROAD + 5TH",,35.050732,-85.310755,,,,,,2
401,2722,"GLENWOOD + CITICO",,35.041572,-85.258542,,,,,,2
402,2558,"WILLOW + OAK",,35.035508,-85.271400,,,,,,2
403,1149,"3RD + SCRUGGS",,35.045837,-85.285515,,,,,,2
404,1598,"DODSON + DAISY",,35.066483,-85.253312,,,,,,2
405,1100,"38TH + ALTON PK BLVD",,35.008178,-85.317668,,,,,,2
406,1314,"BRAINERD RD + MANOR",,35.020258,-85.240517,,,,,,2
408,3075,"MARKET + W 14TH",,35.039530,-85.307655,,,,,,2
412,1909,"HIXSON PK + BAGWELL",,35.121387,-85.248638,,,,,,2
413,2283,"NORTH CREST + LIGHT MILL",,35.065505,-85.241168,,,,,,2
414,1336,"BRAINERD RD + TUXEDO",,35.016788,-85.236845,,,,,,2
415,1337,"BRAINERD RD + VISTA",,35.024875,-85.247812,,,,,,2
416,1914,"HIXSON PK + CLOVERDALE",,35.128448,-85.246445,,,,,,2
418,1588,"DODSON + APPLING",,35.067568,-85.252723,,,,,,2
419,1421,"HIXSON PIKE + REGIONS BANK",,35.112898,-85.263437,,,,,,2
420,1698,"GLENWOOD + OAK",,35.032365,-85.263453,,,,,,2
421,1680,"GLENWOOD + 1208 GLENWOOD",,35.048288,-85.256762,,,,,,2
423,2057,"LEE HWY + PERIMETER CROSS",,35.030637,-85.185395,,,,,,2
424,2727,"3RD + ROANOKE",,35.040313,-85.270415,,,,,,2
425,2410,"STUART + CHAMBERLAIN",,35.070402,-85.246477,,,,,,0
428,2526,"WILCOX + JEANAGA",,35.045128,-85.231647,,,,,,2
432,1701,"GLENWOOD + PARKWOOD",,35.039903,-85.259463,,,,,,2
434,1806,"MARKET + KING",,35.039462,-85.307497,,,,,,2
435,2513,"WILCOX + LILLIAN",,35.046868,-85.235113,,,,,,2
437,2111,"MAIN + FILLMORE",,35.030177,-85.291458,,,,,,2
438,1286,"BOYNTON + RENAISSANCE",,35.043437,-85.319132,,,,,,2
439,1398,"BROAD + 10TH",,35.044600,-85.310247,,,,,,2
441,1728,"GROVE + WEST SIDE",,35.043437,-85.318417,,,,,,2
444,2186,"MARKET + 5TH",,35.050720,-85.309452,,,,,,2
448,588,"HIXSON PK + PRES CHURCH",,35.102242,-85.274960,,,,,,0
449,1169,"4TH AVE + 24TH",,35.015160,-85.281158,,,,,,2
450,1705,"GLENWOOD + VINE",,35.033685,-85.262880,,,,,,2
451,2809,"FRAZIER + TAMPA",,35.061193,-85.303633,,,,,,2
452,2297,"OKNOB + CARSON",,35.047307,-85.268682,,,,,,2
453,1919,"HIXSON PK + DUGDALE",,35.066785,-85.290155,,,,,,2
454,1916,"HIXSON PK + CONTINENTAL",,35.086737,-85.290203,,,,,,2
457,2660,"40TH + SOUTHSIDE REC",,35.008213,-85.322787,,,,,,2
460,2552,"WILLOW + DUNCAN",,35.033912,-85.272322,,,,,,2
461,579,"HIXSON PK + KENSINGTON",,35.113308,-85.262323,,,,,,0
462,1491,"CHAMBERLAIN + LATTA",,35.064075,-85.249798,,,,,,2
463,2055,"LEE HWY + PARK",,35.043765,-85.164223,,,,,,2
464,1684,"GLENWOOD + 418 GLENWOOD",,35.038692,-85.261020,,,,,,2
465,1864,"HAMILTON PL + GUNBARREL",,35.032867,-85.154098,,,,,,2
467,1757,"ROANOKE + CAMDEN",,35.055623,-85.262880,,,,,,2
468,2259,"MCCALLIE AVE + PARKRIDGE",,35.033597,-85.268460,,,,,,2
470,2763,"28TH + 5TH AVE",,35.011095,-85.282415,,,,,,2
472,1932,"HIXSON PK + HAMILL",,35.118442,-85.249878,,,,,,2
473,14,"3RD + ORCHARD KNOB",,35.040778,-85.271797,,,,,,2
475,2432,"TUNNEL BLVD + BELMEADE",,35.039327,-85.240055,,,,,,2
476,2884,"SHALLOWFORD + OVERNIGHT",,35.043023,-85.157372,,,,,,2
480,2281,"NORTH CREST + GLASS",,35.067123,-85.243267,,,,,,2
481,1154,"3RD + WIEHL",,35.047818,-85.290362,,,,,,2
482,1254,"BAILEY AVE + HOLTZCLAW",,35.036565,-85.284545,,,,,,2
484,1952,"HIXSON PK + MEADOW LAKE",,35.100180,-85.277837,,,,,,2
487,63,"CENTRAL + 47TH",,34.997612,-85.314840,,,,,,0
489,1583,"DODDS + DUNCAN",,35.030907,-85.264263,,,,,,2
490,871,"BRAINERD + BIG LOTS",,35.016817,-85.207218,,,,,,0
492,1208,"52ND + FAGAN",,34.990540,-85.314538,,,,,,2
493,2205,"MARKET + DRC",,35.040257,-85.307878,,,,,,2
494,3099,"LEE HWY + CUSTORMER DELIGHT",,35.033502,-85.180323,,,,,,2
497,3337,"EASTGATE LOOP LAST STOP",,35.007192,-85.211430,,,,,,2
499,111,"37TH + ALTON PARK BLVD",,35.009267,-85.317303,,,,,,0
500,2907,"GREENWAY VIEW DRIVE + MARLIN",,35.010192,-85.207917,,,,,,2
501,62,"CENTRAL + 45TH",,35.000187,-85.313568,,,,,,0
502,1384,"BROAD + 8TH",,35.046968,-85.310628,,,,,,2
503,2037,"LEE HWY + AIKEN",,35.019793,-85.202448,,,,,,2
505,1752,"HALSEY + USHER",,34.988092,-85.317003,,,,,,2
507,801,"MARKET + 2ND SHUTTLE STOP",,35.054363,-85.309642,,,,,,0
508,751,"13TH + GROVE",,35.042502,-85.318957,,,,,,0
509,2143,"MAIN + ROSSVILLE AVE",,35.035350,-85.305175,,,,,,2
510,3335,"EASTGATE LOOP OB 1ST STOP",,35.009545,-85.213178,,,,,,2
512,119,"40TH + BI LO",,35.010713,-85.325792,,,,,,0
514,1262,"BARTON + CREWDSON",,35.063880,-85.297498,,,,,,2
515,1171,"4TH AVE + 25TH",,35.014173,-85.281683,,,,,,2
517,1536,"DODDS + 18TH",,35.018993,-85.271638,,,,,,2
518,1954,"HIXSON PK + MINNEKAHDA",,35.081805,-85.289853,,,,,,2
519,2460,"UNION + KELLY",,35.030995,-85.272035,,,,,,2
522,1800,"S MARKET + 19TH",,35.032270,-85.308545,,,,,,2
524,1472,"CHAMBERLAIN + BRAGG",,35.059393,-85.252327,,,,,,2
525,174,"3RD + SISKIN",,35.050060,-85.296195,,,,,,0
526,1140,"3RD + LINDSAY",,35.052515,-85.302427,,,,,,2
527,1500,"CHAMBERLAIN + WILCOX",,35.052003,-85.256380,,,,,,2
528,1150,"3RD + SCRUGGS",,35.045888,-85.285212,,,,,,2
529,489,"BROAD + 6TH NS",,35.049897,-85.310453,,,,,,0
531,44,"BI LO + BI LO STOP",,35.010633,-85.325823,,,,,,0
532,1315,"BRAINERD RD + MANOR",,35.020190,-85.240293,,,,,,2
533,2431,"TUNNEL BLVD + BELMEADE",,35.039125,-85.239738,,,,,,2
535,2247,"MCCALLIE AVE + HOLLY",,35.037412,-85.278712,,,,,,2
538,1899,"HIXSON PK + 1336",,35.072960,-85.288582,,,,,,2
539,1383,"BROAD + 7TH",,35.048455,-85.310468,,,,,,2
540,1146,"3RD + ONEAL",,35.046392,-85.286468,,,,,,2
542,1486,"CHAMBERLAIN + GILBERT",,35.056218,-85.254075,,,,,,2
546,2642,"SHUTTLE PARK SOUTH",,35.037876,-85.306890,,,,,,2
547,2082,"M.L.KING BLVD + DOUGLAS",,35.043770,-85.303142,,,,,,2
548,1155,"3RD + WILLOW",,35.039895,-85.269350,,,,,,2
551,1478,"CHAMBERLAIN + CRUTCHFIELD",,35.062760,-85.250498,,,,,,2
552,2089,"M.L.KING BLVD + PEEPLES",,35.042300,-85.299072,,,,,,2
553,1903,"HIXSON PK + ACCESS RD",,35.114718,-85.256555,,,,,,2
555,1335,"BRAINERD RD + TUXEDO",,35.016768,-85.237132,,,,,,2
556,3074,"MARKET + 12TH",,35.042347,-85.309070,,,,,,2
557,66,"CENTRAL + ARLINGTON",,34.992605,-85.317622,,,,,,0
558,716,"FRAZIER + FOREST",,35.062497,-85.306765,,,,,,0
560,2314,"PIROLA + POST OFFICE",,35.008372,-85.321468,,,,,,2
561,2244,"MCCALLIE AVE + HAWTHORNE",,35.036390,-85.275962,,,,,,2
562,2554,"WILLOW + IVY",,35.037122,-85.270525,,,,,,2
563,1977,"HIXSON PK + VAN BUREN",,35.099742,-85.278838,,,,,,2
565,1662,"WOODLAND",,35.062616,-85.307791,,,,,,2
566,2720,"CHAMBERLAIN + POLK",,35.050648,-85.257142,,,,,,2
